"HUNDENAME","GEBURTSJAHR_HUND","GESCHLECHT_HUND"
"Bobby",2016,"m"
"Bobby",2018,"m"
"Bobby",2019,"m"
"Bobby",2007,"m"
"Bobby",2016,"m"
"Bobby",2016,"m"
"Bobby Levi",2014,"m"
"Bobby-Jack",2016,"m"
"Bobi",2012,"m"
"Bobi",2017,"m"
"Bobi",2016,"m"
"Bobi",2018,"m"
"Bobi",2018,"m"
"Bobi",2020,"m"
"Bobi",2018,"m"
"Bobi (Bengo)",2004,"m"
"Bobi (DJ)",2009,"m"
"Bobi (Milou)",2009,"m"
"Bobo",2018,"m"
"Bobo",2011,"m"
"Bobo",2009,"m"
"Bobo",2007,"m"
"Boby",2019,"m"
"Boby",2009,"m"
"Boby",2007,"m"
"Boby",2009,"m"
"Boby (Zorro)",2005,"m"
"Boby Prinz",2015,"m"
"Bodhi",2018,"m"
"Bodo",2020,"m"
"Bodo",2018,"m"
"Body",2019,"m"
"Bogar",2012,"w"
"Bogar",2011,"w"
"Bogyo",2015,"m"
"Boki",2015,"m"
"Boldo vom Hohentwielblick",2020,"m"
"Bolero Classic",2013,"m"
"Bolimhas",2012,"m"
"Bolinha",2011,"w"
"Bolinhas",2018,"m"
"Bolo (Pluto)",2014,"m"
"Bolt",2020,"m"
"Bom",2017,"m"
"Boma",2008,"m"
"Bomani",2009,"m"
"Bommel",2013,"m"
"Bonaventure",2006,"m"
"Boncuk",2011,"w"
"Bond vom Köppembusch",2011,"m"
"Boneca",2014,"w"
"Boney",2015,"m"
"Bongio",2010,"m"
"Bongo",2012,"m"
"Bonita",2010,"w"
"Bonita",2004,"w"
"Bonita",2010,"w"
"Bonita",2007,"w"
"Bonita (Nebbia)",2018,"w"
"Bonito",2019,"m"
"Bonito",2014,"m"
"Bonitta",2004,"w"
"Bonkers",2020,"w"
"Bonnetime",2012,"m"
"Bonni",2010,"w"
"Bonni of Clermont",2014,"m"
"Bonnie",2020,"w"
"Bonnie",2020,"w"
"Bonnie",2015,"w"
"Bonnie",2019,"w"
"Bonnie",2017,"w"
"Bonnie",2017,"w"
"Bonnie",2019,"w"
"Bonnie",2007,"w"
"Bonnie",2015,"w"
"Bonnie",2019,"w"
"Bonnie",2010,"w"
"Bonnie (Ella)",2020,"w"
"Bonnie (Hajra TappiLargiBulls)",2020,"w"
"Bonnie (Kremmi)",2010,"w"
"Bonnie (X Mas Bonbon)",2017,"w"
"Bonnie Bonita",2010,"w"
"Bonny",2014,"w"
"Bonny",2016,"w"
"Bonny",2019,"w"
"Bono",2006,"m"
"Bono",2008,"m"
"Bono",2006,"m"
"Bono",2012,"m"
"Bono",2007,"m"
"Bonsai",2008,"w"
"Bonsai",2007,"m"
"Bonsai von den Glückspfoten",2011,"m"
"Boo",2013,"m"
"Boo",2016,"m"
"Boo",2017,"m"
"Boogy",2012,"m"
"Bootsmeister Herbert",2020,"m"
"Bordeaux",2020,"m"
"Bori van Millus (Balto)",2013,"m"
"Boris",2020,"w"
"Borisz",2011,"m"
"Born in the USA Brynn",2012,"w"
"Borre",2015,"m"
"Bosco",2018,"m"
"Bosco",2020,"m"
"Bosko",2010,"m"
"Boss",2016,"m"
"Boss",2015,"m"
"Boss",2016,"m"
"Boston",2015,"m"
"Boszi",2013,"w"
"Boubi",2020,"m"
"Boudicca",2016,"w"
"Boudy Snoody Happyparadise",2016,"m"
"Boulie",2011,"w"
"Bousa",2015,"w"
"Bout de Chou",2009,"m"
"Bowie",2013,"m"
"Bowie",2016,"m"
"Bowie",2020,"m"
"Bowie",2017,"m"
"Bowie (Charlie)",2016,"m"
"Bowie (Guillaume Tell)",2020,"m"
"Bowser",2018,"m"
"Boxy",2007,"w"
"Boyka",2018,"m"
"Boza",2015,"w"
"Branca",2010,"w"
"Branco",2014,"m"
"Brandy",2006,"m"
"Branko",2020,"m"
"Bratan von Diessenhofen",2018,"m"
"Brauni",2014,"w"
"Brave",2019,"m"
"Breeze",2017,"w"
"Brenda",2020,"w"
"Brenda (Aurora)",2008,"w"
"Briciola",2006,"w"
"Brida",2020,"w"
"Brio",2018,"m"
"Brio",2007,"m"
"Brioche",2020,"w"
"Brisa",2013,"w"
"Britta",2010,"w"
"Britto Nina",2016,"w"
"Bro",2020,"m"
"Bro",2012,"m"
"Broccoli",2005,"m"
"Broh",2019,"m"
"Brok",2010,"m"
"Bronco",2016,"m"
"Bronson",2019,"m"
"Brooke",2009,"w"
"Brown",2010,"w"
"Brownie",2011,"m"
"Brownie",2018,"w"
"Brownie",2018,"w"
"Brownie",2016,"m"
"Brownie",2019,"m"
"Browny",2009,"m"
"Bruce",2015,"m"
"Bruce",2012,"m"
"Bruce",2020,"m"
"Bruce",2018,"m"
"Bruce (Tysson)",2011,"m"
"Bruna",2016,"w"
"Bruno",2014,"m"
"Bruno",2013,"m"
"Bruno",2016,"m"
"Bruno",2017,"m"
"Bruno",2007,"m"
"Bruno",2017,"m"
"Bruno",2015,"m"
"Bruno",2014,"m"
"Bruno",2017,"m"
"Bruno (Bobby)",2016,"m"
"Bruno (Ramsès)",2016,"m"
"Bruno Jensen",2019,"m"
"Bruno Taschenbier v. Loderberg",2019,"m"
"Brutus",2018,"m"
"Brutus",2011,"m"
"Brutus vom goldenen Kelsch",2011,"m"
"Brösmeli",2009,"w"
"Brünett",2015,"w"
"BuBu",2018,"m"
"Buba",2001,"w"
"Bubi",2017,"m"
"Bubi",2014,"m"
"Bubi",2011,"m"
"Bubi",2006,"m"
"Bubi-Verni",2008,"m"
"Bubu",2009,"m"
"Bubu",2018,"m"
"Bubu",2014,"m"
"Bubu",2008,"m"
"Bubu",2011,"w"
"Bucca",2007,"w"
"Buccio",2012,"m"
"Buchi",2004,"m"
"Bud Spencer (Loki)",2020,"m"
"Bud Spencer Blue Lagune",2020,"m"
"Buda",2006,"m"
"Buddy",2016,"m"
"Buddy",2014,"m"
"Buddy",2017,"m"
"Buddy",2019,"m"
"Buddy",2018,"m"
"Buddy",2012,"m"
"Buddy",2020,"m"
"Buddy",2012,"m"
"Buddy",2018,"m"
"Buddy",2009,"m"
"Buddy",2013,"m"
"Buddy",2011,"m"
"Buddy",2014,"m"
"Buddy",2008,"m"
"Buddy",2016,"m"
"Buddy",2016,"m"
"Buddy (Django)",2013,"m"
"Budunee",2020,"w"
"Buebli Nacho",2017,"m"
"Buffy",2016,"w"
"Buffy Bella",2016,"w"
"Bufo",2013,"m"
"Buggy",2016,"m"
"Bully",2020,"m"
"Bunga",2005,"w"
"Bunny",2010,"w"
"Burbuja",2008,"w"
"Buri",2007,"w"
"Busik",2012,"m"
"Buster",2015,"m"
"Buster",2014,"m"
"Butch",2020,"m"
"Butch",2015,"m"
"Butsch",2017,"m"
"Butterfly of the Irish Hl",2011,"w"
"Butz",2008,"m"
"Butzzi",2016,"m"
"Buzz",2007,"m"
"Byetti",2011,"w"
"Byron",2020,"m"
"Byron Angus",2021,"m"
"Bär",2005,"m"
"Bärli",2020,"m"
"Bärli",2019,"w"
"C'est Ci Bonne",2009,"w"
"CHulla Nena",2018,"w"
"Cacau",2018,"w"
"Cacau (Chubby)",2012,"m"
"Cachaca",2013,"w"
"Caesar",2018,"m"
"Caia (Estelle)",2009,"w"
"Caia Santos",2020,"w"
"Caila",2008,"w"
"Caillou",2018,"m"
"Caillou",2013,"m"
"Caipi",2018,"m"
"Caipirhna`s One Hot Minute (Mi",2012,"w"
"Caja",2020,"w"
"Cajou",2016,"w"
"Cajou Kiwi",2020,"m"
"Cajus",2012,"m"
"Cakil",2011,"m"
"Calan",2009,"m"
"Cali",2019,"w"
"Cali",2012,"w"
"Calimera",2017,"w"
"Calimero",2013,"m"
"Calimero",2010,"m"
"Caline",2016,"w"
"Caliope",2013,"w"
"Calle-Paul vom Wandergut",2019,"m"
"Camelot",2019,"m"
"Camila",2011,"w"
"Camila",2018,"w"
"Camilla",2020,"w"
"Camilla",2018,"w"
"Camilla",2009,"w"
"Camilo",2010,"m"
"Camino",2014,"m"
"Camira",2013,"w"
"Cammy",2013,"w"
"Camwood Eight Miles High",2019,"m"
"Candy",2007,"w"
"Candy",2005,"w"
"Candy",2015,"w"
"Candy",2018,"w"
"Candy",2018,"w"
"Candy",2020,"w"
"Candy",2011,"w"
"Candy (Mara)",2014,"w"
"Candy Beggar II",2013,"m"
"Candy vom Wolfszauber",2013,"w"
"Canela",2014,"w"
"Canelle",2007,"w"
"Canggu",2016,"m"
"Canica",2013,"w"
"Caniche",2009,"w"
"Cannelle",2020,"w"
"Cannelle",2012,"w"
"Cano",2007,"m"
"Cansu",2009,"w"
"Capi",2007,"w"
"Capo Stubborn Fellow",2017,"m"
"Capo Wayn",2016,"m"
"Capone",2006,"m"
"Captain",2008,"m"
"Captain (Clint)",2015,"m"
"Capu (Cuantico-Doue)",2013,"m"
"Capuccino",2020,"m"
"Capuchina",2016,"w"
"Cara",2011,"w"
"Cara",2020,"w"
"Cara",2013,"w"
"Caramel",2020,"w"
"Caramel (Angel)",2012,"w"
"Caramel's Valiant Vicco",2017,"m"
"Caramella",2020,"w"
"Caramelli",2018,"w"
"Caramelo",2019,"m"
"Caramelo",2020,"m"
"Carbonne",2017,"w"
"Caremel",2017,"m"
"Carina",2018,"w"
"Carioca",2019,"m"
"Carla",2008,"w"
"Carla",2016,"w"
"Carlito",2019,"m"
"Carlito Luis",2018,"m"
"Carlitos",2009,"m"
"Carlos",2008,"m"
"Carlos",2018,"m"
"Carlos",2009,"m"
"Carlos",2016,"m"
"Carlos",2005,"m"
"Carly",2015,"w"
"Carly",2012,"m"
"Carmel",2008,"m"
"Carmelita",2014,"w"
"Carmi",2014,"w"
"Carol",2016,"w"
"Carrie",2004,"w"
"Carry",2014,"w"
"Caruso",2019,"m"
"Caruso",2020,"m"
"Caruso",2009,"m"
"Caruso",2019,"m"
"Casa Rastys Bonito Bicho",2015,"m"
"Casey",2014,"m"
"Casey",2018,"w"
"Casey Chaya",2015,"w"
"Cash",2011,"m"
"Cash",2012,"m"
"Casima",2011,"w"
"Casimo",2011,"m"
"Caspar",2017,"m"
"Caspar Lou",2018,"m"
"Casper",2014,"m"
"Casper",2009,"m"
"Cassie",2013,"w"
"Cassius",2007,"m"
"Cassy",2017,"m"
"Cassy",2013,"w"
"Cassy (Kassady little rose)",2007,"w"
"Castro",2010,"m"
"Catalina",2006,"w"
"Caviperro Eron",2015,"m"
"Caviperro Khasib",2018,"m"
"Caviperro Primo",2020,"m"
"Cayla",2019,"w"
"Cayman Turkish Diamond",2016,"m"
"Cedi",2019,"w"
"Celia",2012,"w"
"Celia",2012,"w"
"Celine",2018,"w"
"Cem",2020,"m"
"Cenga",2019,"w"
"Cersei (vom Schüpberger Land)",2017,"w"
"Cert",2008,"m"
"Cesar",2012,"m"
"Cesar Cip Cäsi (Cäsi)",2019,"m"
"Cesare",2019,"m"
"Cesare",2017,"m"
"Cezar",2018,"m"
"Chabo",2016,"m"
"Chachi Rodriguez",2020,"w"
"Chadisha Nanouk",2009,"w"
"Chai",2018,"m"
"Chai",2016,"m"
"Chai",2012,"w"
"Chaka",2019,"m"
"Chakori",2015,"m"
"Chalki",2015,"m"
"Chami",2018,"w"
"Champ",2013,"m"
"Champ (Artie)",2018,"m"
"Chan (Phoenix)",2015,"m"
"Chance",2014,"m"
"Chandar",2007,"m"
"Chandays Aira",2016,"w"
"Chanel",2013,"w"
"Chanel",2011,"w"
"Chanel",2004,"w"
"Chanel",2013,"w"
"Chanel",2020,"w"
"Chanel",2010,"w"
"Chanel",2019,"w"
"Chanel",2020,"w"
"Chanel",2016,"w"
"Chanel",2009,"w"
"Chanel",2013,"w"
"Chanel",2012,"w"
"Chanel",2014,"w"
"Chanelle",2012,"w"
"Chanelle",2011,"w"
"Channel",2010,"w"
"Channel",2015,"w"
"Chano",2021,"m"
"Chantal",2014,"w"
"Chap",2015,"m"
"Chapa",2013,"m"
"Chaplin",2016,"m"
"Chaplin",2014,"m"
"Chapo",2018,"m"
"Chara",2016,"w"
"Charles",2020,"m"
"Charles",2019,"m"
"Charlet",2007,"w"
"Charlie",2014,"m"
"Charlie",2016,"m"
"Charlie",2020,"m"
"Charlie",2020,"w"
"Charlie",2020,"m"
"Charlie",2011,"m"
"Charlie",2013,"m"
"Charlie",2012,"m"
"Charlie",2014,"m"
"Charlie",2020,"m"
"Charlie",2019,"m"
"Charlie",2019,"m"
"Charlie",2015,"m"
"Charlie",2006,"m"
"Charlie",2008,"m"
"Charlie",2018,"m"
"Charlie",2014,"m"
"Charlie",2011,"m"
"Charlie",2016,"m"
"Charlie",2019,"m"
"Charlie",2019,"m"
"Charlie",2014,"m"
"Charlie",2018,"m"
"Charlie",2016,"m"
"Charlie (Charly)",2019,"m"
"Charlie (Milka)",2006,"w"
"Charlie (Taro)",2011,"m"
"Charlie Brow",2020,"m"
"Charlie Brown",2020,"m"
"Charlina",2012,"w"
"Charlo",2015,"m"
"Charly",2006,"m"
"Charly",2006,"m"
"Charly",2007,"m"
"Charly",2009,"m"
"Charly",2014,"m"
"Charly",2015,"m"
"Charly",2016,"m"
"Charly",2011,"m"
"Charly",2012,"m"
"Charly",2011,"m"
"Charly",2020,"m"
"Charly",2010,"m"
"Charly",2018,"m"
"Charly",2017,"w"
"Charly",2016,"m"
"Charly",2020,"m"
"Charly",2012,"m"
"Charly",2013,"m"
"Charly",2009,"m"
"Charly",2019,"m"
"Charly",2018,"m"
"Charly",2020,"w"
"Charly (Carletto)",2011,"m"
"Charly Chaplin",2019,"m"
"Charly v. Kopfrein",2018,"m"
"Charlyn",2011,"w"
"Charo",2007,"w"
"Chaska",2012,"m"
"Chasni",2012,"w"
"Chasper",2018,"m"
"Chavez",2014,"m"
"Chaya",2009,"w"
"Chayenne",2011,"w"
"Chayenne",2016,"w"
"Che (Bandit)",2014,"m"
"Checo",2020,"m"
"Cheff",2009,"m"
"Chegue",2005,"m"
"Chei-Lee",2016,"w"
"Chela",2009,"w"
"Chelsea",2019,"w"
"Chelsea",2012,"w"
"Chelsea",2010,"w"
"Chelsea",2012,"w"
"Chelsey",2010,"w"
"Cher",2019,"w"
"Cheri",2008,"m"
"Cherie (Merlin Boy)",2011,"m"
"Cheronimo Fleur de feu",2016,"m"
"Cherry",2010,"w"
"Chery",2012,"w"
"Chester",2014,"m"
"Chester",2018,"m"
"Chester",2012,"m"
"Chester",2018,"m"
"Chester Maufer",2011,"m"
"Chester von den Haslizwergen",2010,"m"
"Chewbacca",2012,"w"
"Chewbacca",2014,"m"
"Chewbacca (Chewie)",2017,"m"
"Chewi",2017,"m"
"Chewie",2019,"m"
"Chewie",2020,"m"
"Chewie",2017,"m"
"Chewie",2017,"m"
"Chewie",2016,"m"
"Chewing Gum",2016,"m"
"Chewy",2013,"w"
"Chewy",2020,"w"
"Cheyenne",2009,"w"
"Cheyenne",2008,"w"
"Cheyenne (Caisy)",2018,"w"
"Cheysik",2013,"m"
"ChiChi",2012,"w"
"Chia",2019,"w"
"Chiara",2007,"w"
"Chiara",2012,"w"
"Chiara",2006,"w"
"Chiara",2009,"w"
"Chiara",2007,"w"
"Chiara",2008,"w"
"Chiara",2019,"w"
"Chiara Nora",2010,"w"
"Chibi",2010,"w"
"Chibi",2020,"m"
"Chica",2015,"w"
"Chica",2020,"w"
"Chica",2014,"w"
"Chica",2008,"w"
"Chica",2019,"w"
"Chica",2011,"w"
"Chica",2009,"w"
"Chica",2015,"w"
"Chicca",2013,"w"
"Chicca",2013,"w"
"Chicca",2010,"w"
"Chicca",2015,"w"
"Chicca",2003,"w"
"Chicca",2018,"w"
"Chicca",2010,"w"
"Chicco",2010,"m"
"Chicco",2011,"m"
"Chicco",2009,"m"
"Chicco",2013,"m"
"Chicco",2013,"m"
"Chicco",2018,"m"
"Chicco",2010,"m"
"Chicco",2015,"m"
"Chicco",2008,"m"
"Chicco",2005,"m"
"Chicco",2018,"m"
"Chicco",2011,"m"
"Chicco",2005,"m"
"Chicco",2018,"m"
"Chicky (Titty)",2016,"w"
"Chico",2020,"m"
"Chico",2020,"m"
"Chico",2020,"m"
"Chico",2016,"m"
"Chico",2011,"m"
"Chico",2008,"m"
"Chico",2004,"m"
"Chico",2008,"m"
"Chico",2008,"m"
"Chico",2010,"m"
"Chico",2009,"m"
"Chico",2015,"m"
"Chico",2019,"m"
"Chief",2017,"m"
"Chienne",2015,"w"
"Chigi",2009,"w"
"Chikita",2012,"w"
"Chila",2008,"w"
"Chila",2018,"w"
"Chili",2007,"w"
"Chili",2015,"w"
"Chili",2018,"m"
"Chili",2016,"m"
"Chili",2017,"w"
"Chili",2014,"w"
"Chili (Heidi)",2017,"w"
"Chili (Lea)",2008,"w"
"Chili (Superflys Obsession)",2008,"m"
"Chili of Funny Paws",2011,"w"
"Chili of Snowdrop Manor",2010,"w"
"Chilli",2008,"w"
"Chilli",2005,"w"
"Chilli",2015,"m"
"Chilli",2007,"w"
"Chilli",2019,"w"
"Chilli",2017,"w"
"Chilly",2008,"w"
"Chilly",2010,"w"
"Chilly",2019,"w"
"Chilly",2017,"m"
"Chilly",2017,"w"
"Chilly",2017,"w"
"Chilly",2003,"w"
"Chilly",2007,"w"
"Chilly (Zamaoria)",2008,"w"
"Chilys sweet Cookie",2019,"m"
"Chima",2014,"w"
"China",2016,"w"
"Chincho",2008,"m"
"Chini",2011,"w"
"Chip",2015,"m"
"Chipa (Carmina)",2011,"w"
"Chipi",2009,"m"
"Chips",2007,"w"
"Chipsi",2004,"w"
"Chiquinho",2008,"m"
"Chiquita",2019,"w"
"Chiquita (Bambi)",2009,"w"
"Chispi",2016,"w"
"Chitto",2020,"m"
"Chivas of Greenparadise",2010,"m"
"Chiyo",2012,"w"
"Chloe (Nadine)",2020,"w"
"Chloja",2020,"w"
"Chloé",2020,"w"
"Chloé",2006,"w"
"Chloé",2013,"w"
"Chloë",2016,"w"
"Choco",2020,"w"
"Choco",2020,"m"
"Choco",2014,"m"
"Chocolat",2007,"w"
"Chocolate",2010,"w"
"Chocolate",2011,"m"
"Choko",2010,"w"
"Chokom",2007,"w"
"Chooper",2013,"m"
"Chopin (Chaos Viwabis)",2017,"m"
"Chopper",2017,"m"
"Chou-Chou",2011,"w"
"Chris",2012,"m"
"Chrystal",2015,"w"
"Chueco",2017,"m"
"Chula",2019,"w"
"Chula (Naomi)",2008,"w"
"Chule",2012,"m"
"Chulo",2020,"m"
"Chulo",2010,"m"
"Chuma",2012,"m"
"Chupa",2015,"m"
"Chupito",2020,"m"
"Chupito",2020,"m"
"Churchill (Maki von Càk)",2007,"m"
"Chusca",2013,"w"
"Chyn",2007,"m"
"Chyna von Black-Daimen",2012,"w"
"Ché",2014,"m"
"Cia Amari",2013,"w"
"Ciaba",2019,"w"
"Ciacho",2020,"m"
"Cianluca-Carlos vom Rieskrater",2020,"m"
"Ciara",2020,"w"
"Ciara",2013,"w"
"Ciara von Haselberg",2019,"w"
"Cibai (Urumci",2008,"w"
"Ciccio",2012,"m"
"Ciccio",2014,"m"
"Ciccio",2018,"m"
"Ciccio (Chi)",2006,"m"
"Cicco",2014,"m"
"Cicco",2003,"m"
"Cicero",2016,"m"
"Cici (Inca)",2008,"w"
"Cici Leone",2008,"m"
"Cico",2011,"m"
"Cico",2017,"m"
"Cid",2013,"m"
"Cikito",2008,"m"
"Cima",2015,"w"
"Cina",2015,"w"
"Cinamon",2006,"w"
"Cindy",2013,"w"
"Cindy",2004,"w"
"Cindy",2008,"w"
"Cindy",2008,"w"
"Cindy",2008,"w"
"Cindy",2015,"w"
"Cindy",2009,"w"
"Cindy (Yoko)",2018,"w"
"Cino  Heartbreaker",2012,"m"
"Cintia Cindy",2017,"w"
"Cinzia",2008,"w"
"Cirby v. Försterhaus",2007,"m"
"Ciro",2013,"m"
"Cissy Fleur du Soleil",2012,"w"
"Cito",2014,"m"
"Clara",2014,"w"
"Clara",2007,"w"
"Clara",2018,"w"
"Claude",2018,"m"
"Cle",2013,"w"
"Cleo",2011,"w"
"Cleo",2016,"w"
"Cleopatra äka Ollie",2020,"w"
"Clever Girl Cinta",2008,"w"
"Clifford",2005,"m"
"Cliford",2011,"m"
"Clio",2018,"w"
"Cloe",2009,"w"
"Cloewy",2020,"w"
"Cobi",2015,"m"
"Cobie of Summer Snow",2018,"w"
"Cobolt",2017,"m"
"Coby",2020,"m"
"Coca",2006,"w"
"Coco",2016,"m"
"Coco",2016,"w"
"Coco",2014,"m"
"Coco",2015,"w"
"Coco",2010,"m"
"Coco",2008,"w"
"Coco",2008,"m"
"Coco",2013,"m"
"Coco",2014,"w"
"Coco",2010,"w"
"Coco",2010,"w"
"Coco",2011,"w"
"Coco",2007,"w"
"Coco",2013,"m"
"Coco",2019,"m"
"Coco",2020,"w"
"Coco",2020,"w"
"Coco",2020,"w"
"Coco",2020,"m"
"Coco",2020,"m"
"Coco",2019,"w"
"Coco",2009,"w"
"Coco",2019,"w"
"Coco",2019,"w"
"Coco",2018,"m"
"Coco",2016,"w"
"Coco",2019,"w"
"Coco",2017,"w"
"Coco",2017,"w"
"Coco",2017,"w"
"Coco",2010,"m"
"Coco",2018,"w"
"Coco",2013,"w"
"Coco (Pickwick Hi Coco)",2016,"w"
"Coco (Sindi)",2016,"w"
"Coco (Yuna)",2018,"w"
"Coco Chanel",2020,"w"
"Coco Chanel",2015,"w"
"Coco Chanel",2010,"w"
"Coco Zita von Pfaffenwinkel",2015,"w"
"Coco v.d. Heiligen Pfählen",2016,"w"
"Coco-Loco (Brioni)",2017,"m"
"Cocolino",2010,"m"
"Cocotte",2016,"w"
"Cody",2008,"m"
"Cody (Captain Luka High Hopes)",2006,"m"
"Coia",2008,"w"
"Coki",2017,"m"
"Cokito",2014,"m"
"Cola",2008,"m"
"Cola",2010,"w"
"Colani",2009,"m"
"Cole",2020,"m"
"Colin",2020,"m"
"Collin",2009,"m"
"Comete",2016,"w"
"Commander Nelson",2020,"m"
"Conan",2018,"m"
"Continentalspirit Osita",2020,"w"
"Coockie",2017,"m"
"Cookie",2008,"m"
"Cookie",2017,"w"
"Cookie",2020,"w"
"Cookie",2020,"w"
"Cookie",2016,"w"
"Cookie",2013,"w"
"Cookie (Carla)",2012,"w"
"Cool Puschkin of Silver Smile",2020,"m"
"Cooper",2008,"m"
"Cooper",2013,"m"
"Cooper",2011,"m"
"Cooper",2010,"m"
"Cooper",2013,"m"
"Cooper",2013,"m"
"Cooper",2018,"m"
"Cooper",2011,"m"
"Cooper (Cooper vom Asparagus)",2019,"m"
"Cooper (Earl)",2020,"m"
"Cooper vom Sonnenhügel",2010,"m"
"Copita",2018,"w"
"Copito",2017,"m"
"Copito",2015,"m"
"Copper",2017,"w"
"Cora",2013,"w"
"Cora",2007,"w"
"Cora",2008,"w"
"Cora",2018,"w"
"Corin",2007,"w"
"Cornel",2020,"m"
"Corona",2007,"w"
"Cory",2020,"w"
"Cosima",2013,"w"
"Cosimo (Karo Keno)",2017,"m"
"Cosita",2007,"w"
"Cosita",2012,"w"
"Cosmo",2020,"m"
"Cotton",2015,"w"
"Couco",2012,"m"
"Cowboy Bill von Wasaland",2012,"m"
"Crash",2013,"m"
"Cris",2009,"m"
"Cristal",2008,"w"
"Crni",2020,"m"
"Cruso",2019,"m"
"Crystal",2018,"w"
"Csaba",2015,"m"
"Csaba",2015,"m"
"Csali",2011,"w"
"Csillag (Havy)",2016,"w"
"Csinos",2013,"w"
"Csodas",2009,"m"
"Csöpi",2019,"m"
"Cuba",2013,"w"
"Cuba",2019,"w"
"Cuba",2013,"w"
"Cuba vom Isern Hinnerk",2018,"w"
"Cuba-Emma",2017,"w"
"Cubito",2012,"m"
"Cuca",2017,"w"
"Cucika",2012,"w"
"Cumbia",2006,"w"
"Curly Timmy von Happy Season",2009,"m"
"Curro",2018,"m"
"Curro",2007,"m"
"Cute",2014,"w"
"Cute Holly von Inngold",2018,"w"
"Cuzco",2013,"m"
"Cyan",2020,"w"
"Cymba",2018,"w"
"Cyrus",2014,"m"
"Cäli",2013,"w"
"Cäsar",2010,"m"
"Céline",2016,"w"
"Céline",2013,"w"
"Cézanne",2012,"m"
"Cézanne Anuk Etoile des filous",2015,"m"
"DJ",2012,"m"
"DJ (Winni)",2015,"w"
"DJ Chewbacca",2019,"m"
"Da-Shang of Taiga's Dream",2009,"m"
"Dabu",2007,"m"
"Dachs",2018,"m"
"Dada",2009,"w"
"Daffy (Daphne von Flolama)",2013,"w"
"Dafne",2020,"w"
"Dafy",2014,"w"
"Dahbia Vola vom Galgenberg",2019,"w"
"Dahja",2009,"w"
"Daho",2008,"m"
"Daida Silver Fort",2017,"w"
"Daiki (Daiki vom Albispass)",2017,"m"
"Daila",2008,"w"
"Daimen (Eiri)",2016,"m"
"Dain Dido del Arco di Rosa",2010,"w"
"Daisy",2019,"w"
"Daisy",2009,"w"
"Daisy",2018,"w"
"Daisy",2010,"w"
"Daisy",2014,"w"
"Daisy",2020,"w"
"Daisy",2020,"w"
"Daisy",2008,"w"
"Daisy",2010,"w"
"Daisy",2011,"w"
"Daisy",2006,"w"
"Daisy",2015,"w"
"Daisy",2011,"w"
"Daisy",2015,"w"
"Daisy",2018,"w"
"Daisy",2010,"w"
"Daisy",2013,"w"
"Daisy",2012,"w"
"Daisy",2010,"w"
"Daisy",2011,"m"
"Daisy",2018,"w"
"Daisy",2018,"w"
"Daisy",2010,"w"
"Daisy",2016,"w"
"Daisy  Desirée Rainerschlössel",2011,"w"
"Daisy (Princesse)",2018,"w"
"Daisy von fünf Dörfer",2020,"w"
"Daisy-Gold",2012,"w"
"Daitan",2014,"m"
"Daizy",2020,"w"
"Dakota",2015,"w"
"Dakota",2020,"w"
"Dalida",2010,"w"
"Dallas",2014,"w"
"Dallas Cowboy",2016,"m"
"Dalton",2018,"m"
"Damasco",2016,"m"
"Dameer",2008,"m"
"Damina",2015,"w"
"Dan",2020,"m"
"Dana",2017,"w"
"Dana",2014,"w"
"Dana Esperanza",2005,"w"
"Dana Reichsgrafen von Velen",2012,"w"
"Danai",2014,"w"
"Danan",2014,"m"
"Dandee of Black Devils",2015,"m"
"Danica",2007,"w"
"Danna",2019,"w"
"Dante",2018,"m"
"Dante",2013,"m"
"Dante",2006,"m"
"Dante",2019,"m"
"Dante",2017,"m"
"Dante (Isis)",2020,"m"
"Dante von der Feldmatt",2019,"m"
"Daphne",2018,"w"
"Daphne  (Deema)",2007,"w"
"Dara",2017,"w"
"Darek",2011,"m"
"Dargon Petipa Otto del Wanhel.",2020,"m"
"Darina Levana",2015,"w"
"Darleen",2009,"w"
"Darush",2011,"m"
"Darwin",2017,"m"
"Darwin",2009,"m"
"Darwinfuchs Cello",2019,"m"
"Dasa",2019,"w"
"Dascha",2018,"w"
"Dash",2020,"m"
"Daska",2010,"w"
"Davor",2014,"m"
"Dayja Nala",2020,"w"
"Daylight vom Wolfszauber",2016,"w"
"Dayo of Wenona Bay",2020,"m"
"De Niro",2010,"m"
"Dea",2019,"w"
"Dea",2009,"w"
"Debby",2017,"w"
"Debora (Milly)",2009,"w"
"Dedo",2010,"m"
"Delia",2013,"w"
"Delia von den Elfchen",2017,"w"
"Delilah",2008,"w"
"Delora",2012,"w"
"Delphi",2016,"w"
"Demba Pelicanos",2020,"m"
"Demon",2017,"m"
"Denis",2007,"m"
"Denny",2019,"m"
"Despina",2006,"w"
"Destiny",2005,"w"
"Desty",2019,"w"
"Desy",2014,"w"
"Devis",2004,"m"
"Dexter",2018,"m"
"Dexter",2020,"m"
"Dexter",2009,"m"
"Dexter",2010,"m"
"Dexter",2018,"m"
"Dexter",2013,"m"
"Dexter",2013,"m"
"Dextr ler Gopo",2015,"m"
"Di Nero vom Pommerle",2017,"m"
"Dia",2016,"w"
"Diala",2020,"w"
"Diamond",2012,"m"
"Diamond (Devil)",2015,"m"
"Diamond Spirit Ivory of Golden",2020,"w"
